Smiles,LogBB,Activity
CC1CCN(CC1)C(=O)c(c2)ccc3n(CC=C)c(c4c23)CCN(C4)CC5CC5,0,No
CC(=O)C,0,No
OCCCC,0,No
OCC,0,No
CO,0,No
N#[N+][O-],0,No
CCCO,0,No
NC(=O)N,0,No
c1ccccc1C2(C(=O)NC(=O)N2)c3ccccc3,0,No
c1cccc(c12)nc3c(c2N)CCCC3,0,No
CCCC(=O)Nc(c1)ccc(c1C(=O)C)OCC(O)CNC(C)C,0,No
n1nc(C)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4ccccc4,0,No
CC(C)CCC1(CC)C(=O)NC(=O)NC1=O,0,No
Cc1cc(=O)n(n1C)-c2ccccc2,0,No
CCC1(CC)C(=O)NC(=O)NC1=O,0,No
Cn1cnc(c12)n(C)c(=O)n(C)c2=O,0,No
c1cccc(c12)N(C(=O)N)c3c(C=C2)cccc3,0,No
CCOc(c1C(=O)N)cccc1,0,No
CCOCC,0,No
[O-][N+](=O)c(c1)ccc(c12)N(C)C(=O)CN=C2c3c(F)cccc3,0,No
O=C(O)c1c(O)ccc(c1)O,0,No
O=C1NC(=O)N(C)C(=O)C1(C)C2=CCCCC2,0,No
O=C(O)C(C)c1ccc(cc1)CC(C)C,0,No
CC(C)O,0,No
Cc1ccnc(c12)N(C3CC3)c4c(C(=O)N2)cccn4,0,No
Cn1cnc(c12)[nH]c(=O)n(C)c2=O,0,No
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,0,No
CC(C)NCC(O)COc1cccc(c12)[nH]cc2,0,No
O=C1NCNC(=O)C1(CC)c2ccccc2,0,No
c1cc(N)ccc1C(=O)OCCN(CC)CC,0,No
C1CCCn(c12)c(=O)c(c(n2)C)CCN(CC3)CCC3c4noc(c45)cc(F)cc5,0,No
n1nnn(c12)CCCCC2,0,No
C=CC(C12)CN(CC2)C(C1)C(O)c3ccnc(c34)ccc(c4)OC,0,No
CNC(=O)Oc(c1)ccc(c1C23C)N(C)C2N(C)CC3,0,No
Cc1c(N(C)C)c(=O)n(n1C)-c2ccccc2,0,No
C1CC1,0,No
C1CO1,0,No
CC(C)(O)CC,0,No
CC(C)CO,0,No
CC(=O)CC,0,No
ClC(Cl)CCl,0,No
CC(=O)OC,0,No
c1cc(O)ccc1C(C)(C)c2ccc(O)cc2,0,No
C=CC=C,0,No
CC(=O)CCC,0,No
CC=C,0,No
Cc1c(I)c(=O)n(n1C)-c2ccccc2,0,No
OCC(C)CC,0,No
CC(=O)OCC,0,No
CCC#CC(C)C1(CC=C)C(=O)N(C)C(=O)NC1=O,0,No
FC(F)=CCl,0,No
C1=CCN(CC2)C3C1(CC)C(OC(=O)C)C(O)(C(=O)OC)C4N(C)c(c5C234)cc(OC)c(c5)C(C(=O)OC)(c(c6c78)[nH]c7cccc8)CC9CC(O)(CC)CN(C9)CC6,0,No
c1cccc(C2C(=O)N)c1C=Cc(c23)cccc3,0,No
NC(=O)CC(O)(CC)c1ccccc1,0,No
CCCCCC1(CC)C(=O)NC(=O)NC1=O,0,No
FCC(O)Cn1ccnc1[N+]([O-])=O,0,No
Cc1cc(=O)n(n1C)-c2ccc(F)cc2,0,No
CCC1(C)C(=O)NC(=O)NC1=O,0,No
c1nc(CO)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4c(F)cccc4,0,No
CCOC(=O)c1ncn(c12)c3c(cc(F)cc3)C(=O)N(C2)CCF,0,No
c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)NCN3c4ccc(Br)cc4,0,No
c1ccccc1C(CO)C(=O)OC(C2)CC(N3C)CCC23,0,No
CCCCCCCC1(CC)C(=O)NC(=O)NC1=O,0,No
CCCC1(CC)C(=O)NC(=O)NC1=O,0,No
Cc1c(F)c(=O)n(n1C)-c2ccccc2,0,No
N=C(N)Nc(n1)scc1C,0,No
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,0,No
C1CCCCC1NC(=S)N(CC2)CCC2c3c[nH]cn3,0,No
N=C(N)Nc(n1)scc1-c2ccccc2,0,No
c1cc(O)cc(c12)occ(c2=O)-c3ccc(O)cc3,0,No
C1CCCC2C(N(C)CC3)Cc(c4C123)ccc(c4)O,0,No
c1cc(Br)c(=O)n(c12)CC3CC2CNC3,0,No
C1CN(C)CCC1n(n2)c(=O)ccc2-c3c(-c4ccccc4)nn(c35)cccc5,0,No
C=CCC(N)c1c(cccc1)-c2noc(c23)cccc3,0,No
COC(=O)C1C(C)CC(=CC1=O)Nc2cc(OC(F)(F)F)ccc2,0,No
FCCCCCCCCn1ccnc1[N+]([O-])=O,0,No
OCCCOc(ccc1)cc1CN2CCCCC2,0,No
N1CCNC1=Nc2c(F)cccc2F,0,No
c1cc(F)ccc1C(=O)CCCN(CC2)CCC23C(=O)N(CCC)CN3c4ccc(Br)cc4,0,No
n1ccccc1CSCCNc([nH]c2)c([N+]([O-])=O)c2Cc3ccccc3,0,No
CS(=O)(=O)c(c1)ccc(OC)c1CNC(CCCN2)C2c3ccccc3,0,No
c1ccccc1C2C(CCCN2)NCc3c(OC)ccc(c3)N4CCCC4=O,0,No
FCOCC(O)Cn1ccnc1[N+]([O-])=O,0,No
c1ccc(=O)n(c12)CC3CC2C(Br)NC3,0,No
CC(F)OC(=O)c1ncn(c12)c3c(C(=O)N(C)C2)cc(F)cc3,0,No
COc1c(OC)ccc(c12)C[C@H]3c4c(CCN3C2)cc(OC)c(c4)OC,0,No
CCCCCc(cc1O)cc(c12)OC(C)(C)[C@H]3[C@H]2C=C(C)CC3,0,No
CCCCNC(=S)Nc1ccccc1,0,No
C1NC(C)(O)N(C=12)c3c(cc(Cl)cc3)C(=NC2)c4c(F)cccc4,0,No
CC(C)CCO,0,No
c1nc(C)n(c12)c3c(cc(Cl)cc3)C(=N[C@@H]2O)c4c(F)cccc4,0,No
OC[C@H]1C=C[C@@H](C1)n(cn2)c(c23)nc(N)nc3NC4CC4,0,No
C=CC[C@@]1(CC=C)C(=O)NC(=O)NC1=O,0,No
N1CCCN=C1NCCCNCC(CC2)Oc(c23)cccc3,0,No
NC(N)=Nc(n1)scc1-c2ccccc2,0,No
CC(C)(C)c1cnc(o1)CSc2cnc(s2)NC(=O)C3CCNCC3,0,No
CC(C)(C)OC(=O)c1ncn(c12)c3c(c(Br)ccc3)C(=O)N4[C@H]2CCC4,0,No
OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@@H]3[C@H]([C@H](C2)O)[C@]4(C)C(CC3)=CC(=O)CC4,0,No
COC(=O)[C@H]1[C@@H](C)CC(=CC1=O)Nc2ccc(Cl)cc2,0,No
C1N=C(N)N2c(cccc3)c3Cc(c4C12)cccc4,0,No
CCNC(=O)C(C(=O)N)c1ccccc1,0,No
n1cncn1CC(O)(Cn2cncn2)c3c(F)cc(F)cc3,0,No
FCOCC(O)Cn1ccnc1N(=O)=O,0,No
O=C(O)CC1(CN)CCCCC1,0,No
NC(N)=Nc(s1)ncc1C,0,No
C1CCCN1CCn(nc2)c(c23)cc(cc3)NC(=O)Cc4ccc(cc4)OCc5ccccc5,0,No
CN(C)Cc1ccc(cc1)-c2c[nH]c(=O)c(c23)cccc3O,0,No
CS(=O)(=O)CCNCc1ccc(o1)-c(c2)ccc(c23)ncnc3Nc(cc4)cc(Cl)c4OCc5cc(F)ccc5,0,No
CC[C@@H](C(=O)N)N1CCCC1=O,0,No
C1COc(c12)ccc(c2)CN(CC3)CCC3Nc4cc(=O)oc(c45)ccc(Cl)c5,0,No
NC(=O)OCC(C)(CCC)COC(=O)N,0,No
C,0,No
c1cc(F)ccc1C(=O)N(c2ccccn2)CCN3CCN(CC3)c4c(OC)cccc4,0,No
O=C(O)[C@@H](C)c(c1)ccc(c12)cc(cc2)OC,0,No
O=C1NC(=O)NC(=O)C1(CC)c2ccccc2,0,No
CC(C)(C)/[N+]([O-])=C\c1ccccc1,0,No
O\N=C\c1cccc[n+]1C,0,No
OCC(=O)[C@@]1(O)CC[C@H]([C@@]12C)[C@H]3[C@H](C(C2)O)[C@]4(C)C(CC3)=CC(=O)C=C4,0,No
CC(=O)[C@H]1CC[C@H]([C@@]12C)[C@H]3[C@H](CC2)[C@]4(C)C(CC3)=CC(=O)CC4,0,No
C1COc(c12)c(cc(Cl)c2N)C(=O)NC3CCN(CC3)CCCOC,0,No
C=CC(C12)CC(CC2)C(C1)C(O)c3ccnc(c34)ccc(c4)OC,0,No
CS(=O)(=O)c(cc1)ccc1C(COC2=O)=C2c3ccccc3,0,No
c1ccc(Cl)cc1OC2CCN(CC2)CCC3CCCN3S(=O)(=O)c(cc4)cc(c45)[nH]cc5,0,No
CC(C)(C)C#C/C=C/CN(C)Cc1cccc(c12)cccc2,0,No
OC1CCC(C12C)C3C(CC2)C4(C)C(CC3)=CC(=O)CC4,0,No
c1c(Cl)c(N)cc(OC)c1C(=O)NC2C(OC)CNCC2,0,No
NS(=O)(=O)OC[C@@]12[C@@H](OC(O1)(C)C)[C@H]3[C@@H](CO2)OC(O3)(C)C,0,No
Cl/C=C/Cl,0,No
N1CCN=C1Nc2c(F)cccc2F,0,No
n1nn(C)c(c12)cc(cc2)C(n3cncn3)c4ccc(Cl)cc4,0,No
N=C(N)Nc(n1)scc1-c2c[nH]c(n2)C,0,No
CC(=O)Nc1ccc(O)cc1,0,No
O=c1n(C)c(=O)n(C)c(c12)nc[nH]2,0,No
CNCCc1ccccn1,0,No
c1cccc(c1C(O2)C23)N(C(=O)N)c4c3cccc4,0,No
ClCCNC(=O)N(N=O)CCCl,0,No
CCCC(C(=O)O)CCC,0,No
CN1CCCCC1CCN2c(cccc3)c3Sc(c24)ccc(c4)S(=O)C,0,No
CCCCc1c(=O)n(-c2ccccc2)n(c1O)-c3ccccc3,0,No
OCC1C=CC(O1)n(c2)c(=O)[nH]c(=O)c2C,0,No
